"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"947KMS4Q","conferencePaper","2009","Balachandran, Vipin; P, Deepak; Khemani, Deepak","Interpretable and reconfigurable clustering of document datasets by deriving word-based rules","Proceedings of the 18th ACM conference on information and knowledge management","978-1-60558-512-3","","10.1145/1645953.1646227","http://doi.acm.org/10.1145/1645953.1646227","","2009","2019-09-20 10:15:35","2019-09-20 10:15:35","","1773-1776","","","","","","","CIKM '09","","","","ACM","New York, NY, USA","","","","","","","","Citation Key: Balachandran:2009:IRC:1645953.1646227  bibtex*[acmid=1646227;comments=Presents a specific method for enhancing explainability for models,;numpages=4]  event-place: Hong Kong, China","","","","interpretable clustering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HGGUA8IC","conferencePaper","2018","Bride, Hadrien; Dong, Jie; Dong, Jin Song; Hόu, Zhé","Towards <span class=""nocase"">Dependable</span> and <span class=""nocase"">Explainable Machine Learning Using Automated Reasoning</span>","Formal <span class=""nocase"">Methods</span> and <span class=""nocase"">Software Engineering</span>","978-3-030-02450-5","","","","The ability to learn from past experience and improve in the future, as well as the ability to reason about the context of problems and extrapolate information from what is known, are two important aspects of Artificial Intelligence. In this paper, we introduce a novel automated reasoning based approach that can extract valuable insights from classification and prediction models obtained via machine learning. A major benefit of the proposed approach is that the user can understand the reason behind the decision-making of machine learning models. This is often as important as good performance. Our technique can also be used to reinforce user-specified requirements in the model as well as to improve the classification and prediction.","2018","2019-09-20 10:15:35","2019-09-20 10:15:35","","412-416","","","","","","","Lecture <span class=""nocase"">Notes</span> in <span class=""nocase"">Computer Science</span>","","","","Springer International Publishing","","English","","","","","","","Citation Key: brideDependableExplainableMachine2018  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","","","","","","Sun, Jing; Sun, Meng","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IKSZDX8A","conferencePaper","2018","Brown, Andy; Tuor, Aaron; Hutchinson, Brian; Nichols, Nicole","Recurrent neural network attention mechanisms for interpretable system log anomaly detection","Proceedings of the first workshop on machine learning for computing systems","978-1-4503-5865-1","","10.1145/3217871.3217872","http://doi.acm.org/10.1145/3217871.3217872","","2018","2019-09-20 10:15:35","2019-09-20 10:15:35","","1:1-1:8","","","","","","","MLCS'18","","","","ACM","New York, NY, USA","","","","","","","","Citation Key: Brown:2018:RNN:3217871.3217872  bibtex*[acmid=3217872;articleno=1;comments=Presents a specific method for enhancing explainability for models,;numpages=8]  event-place: Tempe, AZ, USA","","","","Anomaly detection; Attention; Interpretable Machine Learning; Online Training; Recurrent Neural Networks; System Log Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUYWFQB8","bookSection","2018","Browne, Kieran; Swift, Ben; Gardner, Henry","Critical <span class=""nocase"">Challenges</span> for the <span class=""nocase"">Visual Representation</span> of <span class=""nocase"">Deep Neural Networks</span>","Human and <span class=""nocase"">Machine Learning</span>: <span class=""nocase"">Visible</span>, <span class=""nocase"">Explainable</span>, <span class=""nocase"">Trustworthy</span> and <span class=""nocase"">Transparent</span>","978-3-319-90403-0","","","","Artificial neural networks have proved successful in a broad range of applications over the last decade. However, there remain significant concerns about their interpretability. Visual representation is one way researchers are attempting to make sense of these models and their behaviour. The representation of neural networks raises questions which cross disciplinary boundaries. This chapter draws on a growing collection of interdisciplinary scholarship regarding neural networks. We present six case studies in the visual representation of neural networks and examine the particular representational challenges posed by these algorithms. Finally we summarise the ideas raised in the case studies as a set of takeaways for researchers engaging in this area.","2018","2019-09-20 10:15:36","2019-09-20 10:15:36","","119-136","","","","","","","Human–<span class=""nocase"">Computer Interaction Series</span>","","","","Springer International Publishing","Cham","English","","","","","","","Citation Key: browneCriticalChallengesVisual2018  bibtex*[comments=Reviews the current state of explainability research,]  DOI: 10.1007/978-3-319-90403-0_7","","","","","","Zhou, Jianlong; Chen, Fang","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNXRHK5Q","conferencePaper","2019","Cai, Carrie J.; Jongejan, Jonas; Holbrook, Jess","The effects of example-based explanations in a machine learning interface","Proceedings of the 24th international conference on intelligent user interfaces","978-1-4503-6272-6","","10.1145/3301275.3302289","http://doi.acm.org/10.1145/3301275.3302289","","2019","2019-09-20 10:15:36","2019-09-20 10:15:36","","258-262","","","","","","","IUI '19","","","","ACM","New York, NY, USA","","","","","","","","Citation Key: Cai:2019:EEE:3301275.3302289  bibtex*[acmid=3302289;comments=Presents a specific method for enhancing explainability for models,;numpages=5]  event-place: Marina del Ray, California","","","","example-based explanations; explainable AI; human-AI interaction; machine learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EILU56TC","conferencePaper","2019","Card, Dallas; Zhang, Michael; Smith, Noah A.","Deep weighted averaging classifiers","Proceedings of the conference on fairness, accountability, and transparency","978-1-4503-6125-5","","10.1145/3287560.3287595","http://doi.acm.org/10.1145/3287560.3287595","","2019","2019-09-20 10:15:36","2019-09-20 10:15:36","","369-378","","","","","","","FAT* '19","","","","ACM","New York, NY, USA","","","","","","","","Citation Key: Card:2019:DWA:3287560.3287595  bibtex*[acmid=3287595;comments=Presents a specific method for enhancing explainability for models,;numpages=10]  event-place: Atlanta, GA, USA","","","","conformal methods; interpretability credibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6LLVNZHQ","conferencePaper","2018","Costa, Felipe; Ouyang, Sixun; Dolog, Peter; Lawlor, Aonghus","Automatic generation of natural language explanations","Proceedings of the 23rd international conference on intelligent user interfaces companion","978-1-4503-5571-1","","10.1145/3180308.3180366","http://doi.acm.org/10.1145/3180308.3180366","","2018","2019-09-20 10:15:36","2019-09-20 10:15:36","","57:1-57:2","","","","","","","IUI '18 companion","","","","ACM","New York, NY, USA","","","","","","","","Citation Key: Costa:2018:AGN:3180308.3180366  bibtex*[acmid=3180366;articleno=57;comments=Presents a specific method for enhancing explainability for models,;numpages=2]  event-place: Tokyo, Japan","","","","Explainability; Explanations; Natural Language Generation; Neural Network; Recommender systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K9R845F3","conferencePaper","2017","Fernandez, Delia; Woodward, Alejandro; Campos, Victor; Giro-i-Nieto, Xavier; Jou, Brendan; Chang, Shih-Fu","More cat than cute?: interpretable prediction of adjective-noun pairs","Proceedings of the workshop on multimodal understanding of social, affective and subjective attributes","978-1-4503-5509-4","","10.1145/3132515.3132520","http://doi.acm.org/10.1145/3132515.3132520","","2017","2019-09-20 10:15:37","2019-09-20 10:15:37","","61-69","","","","","","","MUSA2 '17","","","","ACM","New York, NY, USA","","","","","","","","Citation Key: Fernandez:2017:MCC:3132515.3132520  bibtex*[acmid=3132520;comments=Presents a specific method for enhancing explainability for models,;numpages=9]  event-place: Mountain View, California, USA","","","","adjective noun pairs; affective computing; compound concepts; convolutional neural networks; interpretable models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UIBXDVE5","conferencePaper","2009","Green, Stephen J.; Lamere, Paul; Alexander, Jeffrey; Maillet, François; Kirk, Susanna; Holt, Jessica; Bourque, Jackie; Mak, Xiao-Wen","Generating transparent, steerable recommendations from textual descriptions of items","Proceedings of the third ACM conference on recommender systems","978-1-60558-435-5","","10.1145/1639714.1639768","http://doi.acm.org/10.1145/1639714.1639768","","2009","2019-09-20 10:15:37","2019-09-20 10:15:37","","281-284","","","","","","","RecSys '09","","","","ACM","New York, NY, USA","","","","","","","","Citation Key: Green:2009:GTS:1639714.1639768  bibtex*[acmid=1639768;comments=Presents a specific method for enhancing explainability for models,;numpages=4]  event-place: New York, New York, USA","","","","explainable recommender; steerable recommender","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXNSHT35","journalArticle","2018","Guidotti, Riccardo; Monreale, Anna; Ruggieri, Salvatore; Turini, Franco; Giannotti, Fosca; Pedreschi, Dino","A survey of methods for explaining black box models","ACM Comput. Surv.","","0360-0300","10.1145/3236009","http://doi.acm.org/10.1145/3236009","","2018-08","2019-09-20 10:15:37","2019-09-20 10:15:37","","93:1-93:42","","5","51","","","","","","","","","","","","","","","","","Citation Key: Guidotti:2018:SME:3271482.3236009  bibtex*[acmid=3236009;address=New York, NY, USA;articleno=93;comments=Reviews the current state of explainability research,;issue_date=January 2019;numpages=42;publisher=ACM]","","","","explanations; interpretability; Open the black box; transparent models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
