Key,Title,"Type (Method, theory, report)",Gamut extended,Applicability,Pipeline step,
8AESBUSM,The LRP Toolbox for Artificial Neural Networks,Method,Local instance explanations,NN,Embedding,
MPS2568Q,The Structure of Deep Neural Network for Interpretable Transfer Learning,Method,,,,
UR3STN4I,Towards Robust Interpretability with Self-Explaining Neural Networks,Method,,,,
KUR2JBY2,Towards Transparent AI Systems: Interpreting Visual Question Answering Models,Method,,,,
NU737C2C,Towards Visual Explanations for Convolutional Neural Networks via Input Resampling,Method,,,,
5VISTAL2,Training Machine Learning Models by Regularizing their Explanations,Method,,,,
HUZKRNTM,Understanding Hidden Memories of Recurrent Neural Networks,Method,,,,
CFS2Y7XP,Unsupervised Learning of Neural Networks to Explain Neural Networks,Method,,,,
ATRLZJ3D,Visual Explanation by Interpretation: Improving Visual Feedback Capabilities of Deep Neural Networks,Method,,,,
642HR5SK,"""What is Relevant in a Text Document?"": An Interpretable Machine Learning Approach",Method,,,,
AKWASNL4,"""Why did you do that?"": Explaining black box models with Inductive Synthesis",Method,,,,
V49Y2BJ8,YASENN: Explaining Neural Networks via Partitioning Activation Sequences,Method,,,,
8FWDEMK8,Comparison-based Inverse Classification for Interpretability in Machine Learning,Method,,,,
9ZSYEFVG,LICON: A Linear Weighting Scheme for the Contribution ofInput Variables in Deep Artificial Neural Networks,Method,,,,
6SKBP3RW,Text-Visualizing Neural Network Model: Understanding Online Financial Textual Data,Method,,,,
DFFR4B4Z,Critical Challenges for the Visual Representation of Deep Neural Networks,Report,,,,
IRDMAZXH,A Survey of Methods for Explaining Black Box Models,Report,,,,
PXN6QICK,Analyzing and Interpreting Neural Networks for NLP: A Report on the First BlackboxNLP Workshop,Report,,,,
8HBDC4TT,Safe and Interpretable Machine Learning: A Methodological Review,Report,,,,
Q6DJQKDN,Visual Interpretability for Deep Learning: A Survey,Report,,,,
V5BAHCHU,"Explainable Artificial Intelligence: Understanding, Visualizing and Interpreting Deep Learning Models",Report,,,,
TZEX5DM7,Explaining Explanations: An Overview of Interpretability of Machine Learning,Report,,,,
UW4YRBQP,Methods for Interpreting and Understanding Deep Neural Networks,Report,,,,
ZHU9ME5K,Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI),Report,,,,
9RTEGZJR,The Challenge of Crafting Intelligible Intelligence,Report,,,,
RGLHEU6P,Understanding Neural Networks via Feature Visualization: A survey,Report,,,,
PM9PWQ6W,Summit: Scaling Deep Learning Interpretability by Visualizing Activation and Attribution Summarizations,Study,,,,
YIZTFDPA,RuleMatrix: Visualizing and Understanding Classifiers with Rules,Study,,,,
AIE5JZ2F,Manifold: A Model-Agnostic Framework for Interpretation and Diagnosis of Machine Learning Models,Study,,,,
EA2ZZ8PA,The Effects of Example-based Explanations in a Machine Learning Interface,Study,,,,
F8BFJ22T,Visualizing Deep Neural Networks for Text Analytics,Study,,,,
WRA8CP32,Interpretable and Reconfigurable Clustering of Document Datasets by Deriving Word-Based Rules,Theory,Local instance explanations,Clustering,,
VAX22ARZ,Towards Dependable and Explainable Machine Learning Using Automated Reasoning,Theory,Local instance explanations,Decision trees,,
MJNSWYCF,Analyzing and Interpreting Convolutional Neural Networks in NLP,Theory,,,,
39QZARHT,The Intriguing Properties of Model Explanations,Theory,,,,
