"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HQ9ATYEL","journalArticle","2018","Singh, Chandan; Murdoch, W. James; Yu, Bin","Hierarchical interpretations for neural network predictions","arxiv","","","","http://arxiv.org/pdf/1806.05337v2","Deep neural networks (DNNs) have achieved impressive predictive performance due to their ability to learn complex, non-linear relationships between variables. However, the inability to effectively visualize these relationships has led to DNNs being characterized as black boxes and consequently limited their applications. To ameliorate this problem, we introduce the use of hierarchical interpretations to explain DNN predictions through our proposed method, agglomerative contextual decomposition (ACD). Given a prediction from a trained DNN, ACD produces a hierarchical clustering of the input features, along with the contribution of each cluster to the final prediction. This hierarchy is optimized to identify clusters of features that the DNN learned are predictive. Using examples from Stanford Sentiment Treebank and ImageNet, we show that ACD is effective at diagnosing incorrect predictions and identifying dataset bias. Through human experiments, we demonstrate that ACD enables users both to identify the more accurate of two DNNs and to better trust a DNN's outputs. We also find that ACD's hierarchy is largely robust to adversarial perturbations, implying that it captures fundamental aspects of the input and ignores spurious noise.","2018","2019-05-16 16:47:08","2019-05-16 18:13:40","","","","","","","","","","","","","","","","","","","","","","Citation Key: http://arxiv.org/abs/1806.05337v2  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","Comment: Published in ICLR 2019","/home/tim/Zotero/storage/VASQX8ME/Singh et al. - 2018 - Hierarchical interpretations for neural network pr.pdf","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language; Computer Science - Computer Vision and Pattern Recognition; Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ZYFGYEK","journalArticle","2018","Waa, Jasper van der; Robeer, Marcel; Diggelen, Jurriaan van; Brinkhuis, Matthieu; Neerincx, Mark","Contrastive Explanations with Local Foil Trees","arxiv","","","","http://arxiv.org/pdf/1806.07470v1","Recent advances in interpretable Machine Learning (iML) and eXplainable AI (XAI) construct explanations based on the importance of features in classification tasks. However, in a high-dimensional feature space this approach may become unfeasible without restraining the set of important features. We propose to utilize the human tendency to ask questions like ""Why this output (the fact) instead of that output (the foil)?"" to reduce the number of features to those that play a main role in the asked contrast. Our proposed method utilizes locally trained one-versus-all decision trees to identify the disjoint set of rules that causes the tree to classify data points as the foil and not as the fact. In this study we illustrate this approach on three benchmark classification tasks.","2018","2019-05-16 16:47:08","2019-05-16 18:05:47","","","","","","","","","","","","","","","","","","","","","","Citation Key: http://arxiv.org/abs/1806.07470v1  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","Comment: presented at 2018 ICML Workshop on Human Interpretability in Machine Learning (WHI 2018), Stockholm, Sweden","/home/tim/Zotero/storage/Y8GWYSK7/van der Waa et al. - 2018 - Contrastive Explanations with Local Foil Trees.pdf","","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4QMFRSF8","journalArticle","2018","Tsang, Michael; Sun, Youbang; Ren, Dongxu; Liu, Yan","Can I trust you more? Model-Agnostic Hierarchical Explanations","arxiv","","","","http://arxiv.org/pdf/1812.04801v1","Interactions such as double negation in sentences and scene interactions in images are common forms of complex dependencies captured by state-of-the-art machine learning models. We propose Mahé, a novel approach to provide Model-agnostic hierarchical éxplanations of how powerful machine learning models, such as deep neural networks, capture these interactions as either dependent on or free of the context of data instances. Specifically, Mahé provides context-dependent explanations by a novel local interpretation algorithm that effectively captures any-order interactions, and obtains context-free explanations through generalizing context-dependent interactions to explain global behaviors. Experimental results show that Mahé obtains improved local interaction interpretations over state-of-the-art methods and successfully explains interactions that are context-free.","2018-12","2019-05-16 16:47:11","2019-05-16 17:55:33","","","","","","","","","","","","","","","","","","","","","","Citation Key: http://arxiv.org/abs/1812.04801v1  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","","/home/tim/Zotero/storage/MILRMNWN/Tsang et al. - 2018 - Can I trust you more Model-Agnostic Hierarchical .pdf","","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PXN6QICK","journalArticle","2019","Alishahi, Afra; Chrupała, Grzegorz; Linzen, Tal","Analyzing and Interpreting Neural Networks for NLP: A Report on the First BlackboxNLP Workshop","arxiv","","","","http://arxiv.org/pdf/1904.04063v1","The EMNLP 2018 workshop BlackboxNLP was dedicated to resources and techniques specifically developed for analyzing and understanding the inner-workings and representations acquired by neural models of language. Approaches included: systematic manipulation of input to neural networks and investigating the impact on their performance, testing whether interpretable knowledge can be decoded from intermediate representations acquired by neural networks, proposing modifications to neural network architectures to make their knowledge state or generated output more explainable, and examining the performance of networks on simplified or formal languages. Here we review a number of representative studies in each category.","2019","2019-05-16 16:47:13","2019-05-16 17:52:19","","","","","","","","","","","","","","","","","","","","","","Citation Key: http://arxiv.org/abs/1904.04063v1  bibtex*[comments=Reviews the current state of explainability research,]","","/home/tim/Zotero/storage/8JTKYHX4/Alishahi et al. - 2019 - Analyzing and Interpreting Neural Networks for NLP.pdf","","Computer Science - Computation and Language; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U4HYVC9H","conferencePaper","2018","Hu, Ronghang; Andreas, Jacob; Darrell, Trevor; Saenko, Kate","Explainable Neural Computation via Stack Neural Module Networks","Computer Vision – ECCV 2018","978-3-030-01234-2","","","","In complex inferential tasks like question answering, machine learning models must confront two challenges: the need to implement a compositional reasoning process, and, in many applications, the need for this reasoning process to be interpretable to assist users in both development and prediction. Existing models designed to produce interpretable traces of their decision-making process typically require these traces to be supervised at training time. In this paper, we present a novel neural modular approach that performs compositional reasoning by automatically inducing a desired sub-task decomposition without relying on strong supervision. Our model allows linking different reasoning tasks though shared modules that handle common routines across tasks. Experiments show that the model is more interpretable to human evaluators compared to other state-of-the-art models: users can better understand the model's underlying reasoning procedure and predict when it will succeed or fail based on observing its intermediate outputs.","2018","2019-05-16 16:47:13","2019-05-16 16:47:13","","55-71","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","","English","","","","","","","Citation Key: huExplainableNeuralComputation2018  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","","/home/tim/Zotero/storage/SCB4HV2E/Hu et al. - 2018 - Explainable Neural Computation via Stack Neural Mo.pdf","","Interpretable reasoning; Neural module networks; Visual question answering","","Ferrari, Vittorio; Hebert, Martial; Sminchisescu, Cristian; Weiss, Yair","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQBWMMEG","journalArticle","2018","Ito, Tomoki; Sakaji, Hiroki; Izumi, Kiyoshi; Tsubouchi, Kota; Yamashita, Tatsuo","GINN: Gradient Interpretable Neural Networks for Visualizing Financial Texts","International Journal of Data Science and Analytics","","2364-4168","10.1007/s41060-018-0160-8","","This study aims to visualize financial documents in such a way that even nonexperts can understand the sentiments contained therein. To achieve this, we propose a novel text visualization method using an interpretable neural network (NN) architecture, called a gradient interpretable NN (GINN). A GINN can visualize a market sentiment score from an entire financial document and the sentiment gradient scores in both word and concept units. Moreover, the GINN can visualize important concepts given in various sentence contexts. Such visualization helps nonexperts easily understand financial documents. We theoretically analyze the validity of the GINN and experimentally demonstrate the validity of text visualization produced by the GINN using real financial texts.","2018-12","2019-05-16 16:47:14","2019-05-16 16:47:14","","","","","","","","GINN","","","","","","","English","","","","","","","Citation Key: itoGINNGradientInterpretable2018  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","","/home/tim/Zotero/storage/32ZV8K69/Ito et al. - 2018 - GINN Gradient Interpretable Neural Networks for V.pdf","","Interpretable neural network; Support system; Text mining","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C39ISMX4","bookSection","2006","Jin, Yaochu; Sendhoff, Bernhard; Körner, Edgar","Simultaneous Generation of Accurate and Interpretable Neural Network Classifiers","Multi-Objective Machine Learning","978-3-540-33019-6","","","","Generating machine learning models is inherently a multi-objective optimization problem. Two most common objectives are accuracy and interpretability, which are very likely conflicting with each other. While in most cases we are interested only in the model accuracy, interpretability of the model becomes the major concern if the model is used for data mining or if the model is applied to critical applications. In this chapter, we present a method for simultaneously generating accurate and interpretable neural network models for classification using an evolutionary multi-objective optimization algorithm. Lifetime learning is embedded to fine-tune the weights in the evolution that mutates the structure and weights of the neural networks. The efficiency of Baldwin effect and Lamarckian evolution are compared. It is found that the Lamarckian evolution outperforms the Baldwin effect in evolutionary multi-objective optimization of neural networks. Simulation results on two benchmark problems demonstrate that the evolutionary multi-objective approach is able to generate both accurate and understandable neural network models, which can be used for different purpose.","2006","2019-05-16 16:47:14","2019-05-16 16:47:14","","291-312","","","","","","","Studies in Computational Intelligence","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","English","","","","","","","Citation Key: jinSimultaneousGenerationAccurate2006  bibtex*[comments=Presents a specific method for enhancing explainability for models,]  DOI: 10.1007/3-540-33019-4_13","","/home/tim/Zotero/storage/5ZFJU7WV/Jin et al. - 2006 - Simultaneous Generation of Accurate and Interpreta.pdf","","Hide Neuron; Mean Square Error; Multiobjective Optimization; Neural Network; Pareto Front","","Jin, Yaochu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VNQHT9WS","conferencePaper","2018","Liu, Ninghao; Huang, Xiao; Li, Jundong; Hu, Xia","On Interpretation of Network Embedding via Taxonomy Induction","Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery &#38; Data Mining","978-1-4503-5552-0","","10.1145/3219819.3220001","http://doi.acm.org/10.1145/3219819.3220001","","2018","2019-05-16 16:47:15","2019-05-16 16:47:15","","1812-1820","","","","","","","KDD '18","","","","ACM","","","","","","","","","Citation Key: Liu:2018:INE:3219819.3220001  bibtex*[acmid=3220001;comments=Presents a specific method for enhancing explainability for models,;numpages=9]  event-place: London, United Kingdom","","/home/tim/Zotero/storage/HQJYEG34/Liu et al. - 2018 - On Interpretation of Network Embedding via Taxonom.pdf","","machine learning interpretation; network embedding; taxonomy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFRJG66I","conferencePaper","2019","Liu, Ninghao; Du, Mengnan; Hu, Xia","Representation Interpretation with Spatial Encoding and Multimodal Analytics","Proceedings of the Twelfth ACM International Conference on Web Search and Data Mining","978-1-4503-5940-5","","10.1145/3289600.3290960","http://doi.acm.org/10.1145/3289600.3290960","","2019","2019-05-16 16:47:16","2019-05-16 16:47:16","","60-68","","","","","","","WSDM '19","","","","ACM","","","","","","","","","Citation Key: Liu:2019:RIS:3289600.3290960  bibtex*[acmid=3290960;comments=Presents a specific method for enhancing explainability for models,;numpages=9]  event-place: Melbourne VIC, Australia","","/home/tim/Zotero/storage/LPYVP9G8/Liu et al. - 2019 - Representation Interpretation with Spatial Encodin.pdf","","interpretation; recommender systems; representation learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HBDC4TT","conferencePaper","2013","Otte, Clemens","Safe and Interpretable Machine Learning: A Methodological Review","Computational Intelligence in Intelligent Data Analysis","978-3-642-32378-2","","","","When learning models from data, the interpretability of the resulting model is often mandatory. For example, safety-related applications for automation and control require that the correctness of the model must be ensured not only for the available data but for all possible input combinations. Thus, understanding what the model has learned and in particular how it will extrapolate to unseen data is a crucial concern. The paper discusses suitable learning methods for classification and regression. For classification problems, we review an approach based on an ensemble of nonlinear low-dimensional submodels, where each submodel is simple enough to be completely verified by domain experts. For regression problems, we review related approaches that try to achieve interpretability by using low-dimensional submodels (for instance, MARS and tree-growing methods). We compare them with symbolic regression, which is a different approach based on genetic algorithms. Finally, a novel approach is proposed for combining a symbolic regression model, which is shown to be easily interpretable, with a Gaussian Process. The combined model has an improved accuracy and provides error bounds in the sense that the deviation from the verified symbolic model is always kept below a defined limit.","2013","2019-05-16 16:47:16","2019-05-16 16:47:16","","111-122","","","","","","Safe and Interpretable Machine Learning","Studies in Computational Intelligence","","","","Springer Berlin Heidelberg","","English","","","","","","","Citation Key: otteSafeInterpretableMachine2013  bibtex*[comments=Reviews the current state of explainability research,]","","/home/tim/Zotero/storage/9GAI3BM4/Otte - 2013 - Safe and Interpretable Machine Learning A Methodo.pdf","","Input Space; Methodological Review; Multivariate Adaptive Regression Spline; Symbolic Model; Symbolic Regression","","Moewes, Christian; Nürnberger, Andreas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MYXNFPL5","conferencePaper","2019","Pastor, Eliana; Baralis, Elena","Explaining Black Box Models by Means of Local Rules","Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing","978-1-4503-5933-7","","10.1145/3297280.3297328","http://doi.acm.org/10.1145/3297280.3297328","","2019","2019-05-16 16:47:16","2019-05-16 16:47:16","","510-517","","","","","","","SAC '19","","","","ACM","","","","","","","","","Citation Key: Pastor:2019:EBB:3297280.3297328  bibtex*[acmid=3297328;comments=Presents a specific method for enhancing explainability for models,;numpages=8]  event-place: Limassol, Cyprus","","/home/tim/Zotero/storage/CQYTCN24/Pastor and Baralis - 2019 - Explaining Black Box Models by Means of Local Rule.pdf","","interpretability; local model; prediction explanation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
